Subject,AgeGroup,Run,Item,PC1,PC2,PC3
341,6-9yo,1,4,5.556317,1.2571696,-0.26239276
341,6-9yo,2,4,-2.143176,1.7134988,2.6302915
341,6-9yo,3,4,-3.7735262,-0.16594179,3.1211002
341,6-9yo,4,4,-3.3635757,-3.2958777,-0.50999814
341,6-9yo,5,4,-2.9661226,3.891392,0.2150099
341,6-9yo,6,4,-4.6651716,-0.06982695,2.277908
229,6-9yo,1,1,-1.2622958,0.97809315,3.0382833
229,6-9yo,2,1,-1.3423226,4.5232143,-0.6915082
229,6-9yo,3,1,2.174128,-0.91176534,2.9696903
229,6-9yo,4,1,-1.601532,-1.0862215,3.158808
229,6-9yo,5,1,-2.6805067,-2.5733113,3.4051297
229,6-9yo,6,1,-3.3469796,-3.0615888,-1.6861
229,6-9yo,1,2,-4.52287,-2.0760093,-1.1574199
229,6-9yo,2,2,-1.3213633,-0.9193769,2.9864333
229,6-9yo,3,2,-2.6409502,4.0224047,0.079363815
229,6-9yo,4,2,-1.4805273,4.91721,-0.7380647
229,6-9yo,5,2,0.3725185,5.64959,0.647361
229,6-9yo,6,2,8.784368,-0.6758331,0.46011356
229,6-9yo,1,3,0.59640217,3.0162477,-1.8203487
229,6-9yo,2,3,5.439503,-0.6264898,-0.4080606
229,6-9yo,3,3,-3.7257404,-3.2389278,-0.82548636
229,6-9yo,4,3,5.8039575,-0.5732118,-0.3076305
229,6-9yo,5,3,-4.5708904,-1.0619428,-3.2108
229,6-9yo,6,3,-4.3316646,0.055103064,2.5820515
229,6-9yo,1,4,5.1887617,-1.918333,-0.060513347
229,6-9yo,2,4,-2.7758162,-2.977348,-1.8868645
229,6-9yo,3,4,4.192561,0.12828931,-2.2235675
229,6-9yo,4,4,-2.7218983,-3.2577772,-2.1131124
229,6-9yo,5,4,6.8788805,-2.014337,-0.8416907
229,6-9yo,6,4,-1.1057233,3.6823184,-1.3560648
279,6-9yo,1,1,-7.8835955,-4.121408,-0.0918006
279,6-9yo,2,1,5.269279,-0.4044287,-1.2927885
279,6-9yo,3,1,1.637393,4.297378,-2.2513978
279,6-9yo,4,1,-4.113433,-3.8552716,-1.576954
279,6-9yo,5,1,-3.6025867,-2.7671628,-0.9514111
279,6-9yo,6,1,-4.847451,-4.016972,-1.1743946
279,6-9yo,1,2,8.265715,-1.7055484,-1.3996375
279,6-9yo,2,2,-3.706198,-1.9790635,-1.9311668
279,6-9yo,3,2,-4.6340666,-2.9131713,-1.7250152
279,6-9yo,4,2,3.2547393,-2.048854,3.3623798
279,6-9yo,5,2,4.828892,-1.0950801,-0.9743247
279,6-9yo,6,2,0.793785,4.518043,-1.6817468
279,6-9yo,1,3,3.4864922,0.5640028,2.2589865
279,6-9yo,2,3,-1.4476321,3.6996272,-0.020253567
279,6-9yo,3,3,-2.0796938,1.8878521,3.4227147
279,6-9yo,4,3,4.437723,1.4895228,-2.9713356
279,6-9yo,5,3,-1.2321618,3.7992494,-1.0226777
279,6-9yo,6,3,7.6032834,-2.2269597,0.5182807
279,6-9yo,1,4,-3.86861,5.2629547,-0.7675485
279,6-9yo,2,4,-0.11544938,-1.3161334,3.2442079
279,6-9yo,3,4,5.076368,-3.2720587,0.5536988
279,6-9yo,4,4,-3.5790288,4.4146047,1.1859089
279,6-9yo,5,4,0.005854809,0.06299509,2.9484134
279,6-9yo,6,4,-3.549618,1.7258879,2.33786
282,6-9yo,1,1,-0.8598781,3.9339526,0.16613312
