,subject,age,run,test_trial,condition,repetition,distance,time,goalx,goaly,nav_x,nav_y,navigation_accuracy,chance_dist,distance_traveled,euclidean_path,path_efficiency,spawn_x,spawn_y,cone_x,cone_y,angular_error
1887,248,11.5,5,4,3,1,10.21,7.333,-24.9474,-11.6421,-23.1386,-1.7748,69.9076265,33.92886241,45.14,45.207,0.067,0.059967,25.9703,-13.306,-13.305,20.63068601
1888,248,11.5,5,5,4,2,4.8953,8.1828,3.3263,24.9474,7.8039,25.5085,84.85983374,32.33319842,15.347,16.986,1.639,18.66,17.89,-13.305,13.305,9.416018837
1889,248,11.5,5,6,1,2,5.1375,7.3164,9.9789,-9.9789,14.174,-12.2582,80.58685089,26.46402173,33.643,28.457,5.186,-16.94,-19.01,13.305,-13.305,84.69772846
1890,248,11.5,5,7,3,2,3.4408,10.584,-24.9474,-11.6421,-23.7066,-9.0537,89.85878171,33.92886241,57.172,52.701,4.471,18.66,17.89,-13.306,-13.305,4.11468375
1891,248,11.5,5,8,2,2,8.3018,9.0326,6.652,-19.9578,6.2514,-11.8857,72.13857745,29.79675565,35.964,39.752,3.788,18.66,17.89,13.305,-13.305,56.37606959
1892,248,11.5,5,9,3,3,6.2594,12.3,-24.9474,-11.6421,-23.9561,-5.7601,81.55140033,33.92886241,34.656,30.246,4.41,-17.7125,17.665,-13.306,-13.305,11.49707223
1893,248,11.5,5,10,1,3,2.3121,5.7163,9.9789,-9.9789,8.6578,-9.9998,91.26323269,26.46402173,38.504,38.42,0.084,0.059998,27.09,13.305,-13.305,9.578650593
1894,248,11.5,5,11,4,3,4.2769,9.8491,3.3263,24.9474,6.6678,26.8251,86.77241903,32.33319842,55.593,51.995,3.598,0.060028,-26.91,-13.305,13.305,6.364274393
1895,248,11.5,5,12,2,3,12.237,5.7655,6.652,-19.9578,-5.4292,-19.5211,58.93177049,29.79675565,37.47,37.464,0.006,-24.94,0.090042,13.305,-13.305,26.6430398
1896,249,12.67,1,1,2,1,6.9001,21.982,6.6526,19.9579,10.5281,25.3423,76.84290488,29.79691522,74.35,46.892,27.458,0.060333,-26.4301,13.305,13.31,32.0237948
1897,249,12.67,1,2,3,1,6.5916,19.467,11.6421,-24.9473,14.1565,-19.157,80.57225586,33.92879766,47.086,43.45,3.636,18.66,17.89,13.305,-13.305,11.44644558
1898,249,12.67,1,3,1,1,5.3688,32.566,16.6316,16.6316,19.0732,12.2427,82.80998343,31.23208159,53.395,34.646,18.749,-17.94,17.89,13.305,13.31,55.43988454
1899,249,12.67,1,4,4,1,2.2291,12.216,-24.9474,3.3264,-25.8554,4.0641,93.10584934,32.33320695,16.078,16.273,0.195,-17.94,17.89,-13.306,-13.305,1.338163595
1900,249,12.67,1,5,2,2,13.908,39.765,6.6526,19.9579,20.2388,17.6678,53.32402735,29.79691522,114.17,37.369,76.801,-24.94,0.090042,13.305,13.31,102.8705765
1901,249,12.67,1,6,4,2,4.6803,18.799,-24.9474,3.3264,-23.7294,7.4278,85.52478878,32.33320695,53.687,50.06,3.627,19.56,-19.51,-13.306,-13.305,9.78639088
1902,249,12.67,1,7,1,2,4.1212,16.299,16.6316,16.6316,20.2778,16.3329,86.8045939,31.23208159,54.266,49,5.266,-16.94,-19.01,13.305,13.31,21.51885431
1903,249,12.67,1,8,3,2,50.06,25.183,11.6421,-24.9473,4.4229,24.5535,-47.54427934,33.92879766,88.181,44.37,43.811,-24.94,0.090042,13.305,-13.305,144.7716916
1904,249,12.67,1,9,3,3,6.5138,17.866,11.6421,-24.9473,10.4363,-18.8337,80.80155959,33.92879766,44.091,29.254,14.837,-16.94,-19.01,13.305,-13.305,3.975165679
1905,249,12.67,1,10,2,3,33.117,21.149,6.6526,19.9579,-21.9319,3.3436,-11.14237751,29.79691522,88.663,41.568,47.095,19.56,-19.51,13.305,13.31,60.77363257
1906,249,12.67,1,11,1,3,3.0673,10.633,16.6316,16.6316,15.2986,18.6393,90.17900875,31.23208159,51.91,46.627,5.283,0.060028,-26.91,13.305,13.31,24.53312753
1907,249,12.67,1,12,4,3,4.3606,9.733,-24.9474,3.3264,-21.47,5.1491,86.51355553,32.33320695,45.828,48.872,3.044,23.78,0.090027,-13.306,-13.305,5.891572808
1908,249,12.67,2,1,3,1,5.0313,27.715,11.642,24.947,15.081,21.8026,85.17090614,33.92857343,72.596,52.467,20.129,-16.94,-19.01,13.305,13.31,9.654842178
1909,249,12.67,2,2,1,1,5.8956,11.382,-16.6316,-16.6316,-11.0509,-16.514,81.12325628,31.23208159,38.301,34.598,3.703,-17.94,17.89,-13.306,-13.305,80.08872201
1910,249,12.67,2,3,4,1,6.8326,14.599,23.2842,3.3263,24.2028,9.8256,78.14451198,31.26262838,67.677,44.844,22.833,-16.089,-18.0539,13.305,-13.305,13.96558712
1911,249,12.67,2,4,2,1,23.428,37.466,-6.6526,-19.9579,16.6482,-18.4311,21.37441132,29.79691522,90.102,47.562,42.54,0.059998,27.09,-13.306,-13.305,35.28681766
1912,249,12.67,2,5,4,2,13.105,24.35,23.2842,3.3263,17.5829,14.9725,58.08093983,31.26262838,45.355,33.282,12.073,0.059998,27.09,13.305,-13.305,32.28557442
1913,249,12.67,2,6,2,2,39.754,40.748,-6.6526,-19.9579,-7.9556,19.7291,-33.41649532,29.79691522,91.937,45.572,46.365,18.66,17.89,-13.306,-13.305,125.7977739
1914,249,12.67,2,7,3,2,3.5683,25.983,11.642,24.947,9.4348,22.883,89.48290588,33.92857343,54.819,53.169,1.65,0.060028,-26.91,13.305,13.31,2.610367581
1915,249,12.67,2,8,1,2,6.7554,18.666,-16.6316,-16.6316,-15.0001,-10.3567,78.37031778,31.23208159,44.128,36.355,7.773,19.56,-19.51,-13.306,-13.305,105.1268383
