,subject,age,run,imp_score
122,239.0,12.67,6.0,1.0684354166666663
123,240.0,8.75,1.0,1.5420937499999996
124,240.0,8.75,2.0,0.9127291666666665
125,240.0,8.75,3.0,-0.4026493055555558
126,240.0,8.75,4.0,-0.18667708333333358
127,240.0,8.75,5.0,-0.230697916666667
128,240.0,8.75,6.0,0.16576649305555524
129,241.0,10.5,1.0,10.936576041666669
130,241.0,10.5,2.0,1.1820942708333355
131,241.0,10.5,3.0,0.640662152777779
132,241.0,10.5,4.0,0.6878281250000005
133,241.0,10.5,5.0,-0.4097741666666662
134,241.0,10.5,6.0,-0.40542118055555526
135,243.0,11.5,1.0,4.302536458333334
136,243.0,11.5,2.0,4.439822916666667
137,243.0,11.5,3.0,3.8908107638888887
138,243.0,11.5,4.0,4.000476302083333
139,243.0,11.5,5.0,5.157994791666667
140,243.0,11.5,6.0,4.532237326388889
141,246.0,12.5,1.0,6.688130208333334
142,246.0,12.5,2.0,3.4094161458333336
143,246.0,12.5,3.0,2.2426857638888893
144,246.0,12.5,4.0,4.142079427083333
145,246.0,12.5,5.0,3.535584583333333
146,246.0,12.5,6.0,3.020621180555556
147,247.0,12.67,1.0,5.084877083333332
148,247.0,12.67,2.0,3.3444093749999997
149,247.0,12.67,3.0,1.8078013888888889
150,247.0,12.67,4.0,1.2737080729166665
151,247.0,12.67,5.0,-1.0183604166666664
152,247.0,12.67,6.0,-1.5077817708333334
153,248.0,11.5,1.0,2.816930208333333
154,248.0,11.5,2.0,1.4368265624999998
155,248.0,11.5,3.0,0.7629076388888887
156,248.0,11.5,4.0,1.3767677083333334
157,248.0,11.5,5.0,1.144369375
158,249.0,12.67,1.0,-3.0117927083333327
159,249.0,12.67,2.0,-1.1011421874999998
160,249.0,12.67,3.0,-0.4885305555555554
161,249.0,12.67,4.0,0.23703515625000027
162,249.0,12.67,5.0,-0.9931529166666664
163,249.0,12.67,6.0,0.1346689236111116
164,250.0,11.67,1.0,0.1702031249999998
165,250.0,11.67,2.0,0.004704687499999999
166,250.0,11.67,3.0,0.8805399305555554
167,250.0,11.67,4.0,1.8242372395833333
168,250.0,11.67,5.0,1.3817795833333333
169,250.0,11.67,6.0,1.1518527777777774
170,251.0,11.33,1.0,2.041309375
171,251.0,11.33,2.0,1.7391604166666665
172,251.0,11.33,3.0,1.2365819444444441
173,251.0,11.33,4.0,1.3388059895833333
174,251.0,11.33,5.0,1.41934125
175,251.0,11.33,6.0,1.3576796875000001
