,subject,age_group,age_num,run,z,scaled_accuracy,distance
212,308,10-12yo,12.42,3,-0.403463287,87.85579155,3.833875
213,308,10-12yo,12.42,4,0.437965502,88.91238118,3.4205
214,308,10-12yo,12.42,5,-0.267565965,89.32513252,3.29585
215,308,10-12yo,12.42,6,-0.315158786,90.43279654,2.914325
216,331,10-12yo,10.42,1,-0.432003492,75.46877823,7.813866667
217,331,10-12yo,10.42,2,0.762417254,67.0418858,10.608425
218,331,10-12yo,10.42,3,-0.53418208,86.02775296,4.523325
219,331,10-12yo,10.42,4,-0.302987266,80.14645053,6.433541667
220,331,10-12yo,10.42,5,0.27903365,66.47775943,11.01648333
221,331,10-12yo,10.42,6,1.276924568,86.20476165,4.348908333
222,339,10-12yo,10.17,1,1.596632871,76.01214431,7.8575
223,339,10-12yo,10.17,2,-0.119686256,80.86085823,6.159566667
224,339,10-12yo,10.17,3,0.120040809,79.62805149,6.570958333
225,339,10-12yo,10.17,4,0.347252427,55.04092764,14.31753333
226,339,10-12yo,10.17,5,-0.022805306,66.19070495,10.89401667
227,339,10-12yo,10.17,6,0.08658575,59.98761193,12.835875
228,320,10-12yo,11.42,1,0.407299776,66.53824177,10.56568333
229,320,10-12yo,11.42,2,-0.868063046,86.09884536,4.246008333
230,320,10-12yo,11.42,3,-0.359129423,79.14395242,6.56765
231,320,10-12yo,11.42,4,0.021699164,80.41369663,5.993225
232,320,10-12yo,11.42,5,0.176561392,57.72022744,12.79355
233,320,10-12yo,11.42,6,-0.249531662,82.50026699,5.4664
234,246,10-12yo,12.5,1,0.406545286,76.64998886,6.993958333
235,246,10-12yo,12.5,2,0.393918481,80.15226065,6.33675
236,246,10-12yo,12.5,3,0.548910781,88.40639676,3.604666667
237,246,10-12yo,12.5,4,0.504680035,57.32012292,13.22511667
238,246,10-12yo,12.5,5,0.481365466,80.24130949,6.373075
239,246,10-12yo,12.5,6,0.250258011,89.88017798,3.086908333
240,208,10-12yo,12.583,1,-0.374823981,75.22390617,7.857775
241,208,10-12yo,12.583,2,-0.648804589,66.26412557,10.02776667
242,208,10-12yo,12.583,3,-0.509458101,83.02035519,5.291725
243,208,10-12yo,12.583,4,-0.22297939,40.76465439,18.38235833
244,208,10-12yo,12.583,5,0.911810948,69.25150814,9.867233333
245,208,10-12yo,12.583,6,1.015428059,55.25907494,13.62985
246,249,10-12yo,12.67,1,0.277785968,63.14932255,11.74315
247,249,10-12yo,12.67,2,-0.04235149,61.20957496,11.854675
248,249,10-12yo,12.67,3,-0.085414363,65.12016546,11.3372
249,249,10-12yo,12.67,4,-0.022031126,84.79320288,4.8353
250,249,10-12yo,12.67,5,0.309294227,76.05037286,7.432316667
251,249,10-12yo,12.67,6,0.798357071,55.64456705,13.78339167
252,313,10-12yo,11.42,1,0.528746436,58.89486142,13.349225
253,313,10-12yo,11.42,2,0.255269103,52.96788621,15.37514167
254,313,10-12yo,11.42,3,0.335340092,72.89935102,8.706666667
255,313,10-12yo,11.42,4,0.443557382,68.18836209,9.832066667
256,313,10-12yo,11.42,5,0.075719471,80.27942876,6.286433333
257,313,10-12yo,11.42,6,-0.00217192,72.71336567,8.570975
258,315,10-12yo,12.17,1,-0.408501062,81.7212198,5.7958
259,315,10-12yo,12.17,2,1.444418578,69.54303662,9.642616667
260,315,10-12yo,12.17,3,-0.099431855,75.36821243,8.087666667
261,315,10-12yo,12.17,4,0.256963005,75.17331492,7.823233333
