Subject,AgeGroup,Run,Item,PC1,PC2
329,6-9yo,3,3,9.14056,3.8782926
329,6-9yo,1,4,-6.068704,-4.570016
329,6-9yo,2,4,-3.7204282,1.8263392
329,6-9yo,3,4,-6.821299,8.575973
253,6-9yo,1,1,-8.070954,-3.7478933
253,6-9yo,2,1,-3.6688323,-2.7657678
253,6-9yo,3,1,14.863635,-5.884716
253,6-9yo,1,2,-8.97828,-2.23747
253,6-9yo,2,2,17.287333,-1.6671345
253,6-9yo,3,2,-0.18207335,10.972156
253,6-9yo,1,3,2.3883312,11.251807
253,6-9yo,2,3,-3.9448922,10.745037
253,6-9yo,3,3,-0.8748343,1.4866364
253,6-9yo,1,4,14.660904,-5.2664385
253,6-9yo,2,4,-9.673608,-6.312139
253,6-9yo,3,4,-13.806729,-6.574078
268,6-9yo,1,1,21.58499,1.9341788
268,6-9yo,2,1,-12.005886,-8.022158
268,6-9yo,3,1,-7.322657,13.218081
268,6-9yo,1,2,-6.701233,17.848469
268,6-9yo,2,2,7.534416,-10.545242
268,6-9yo,3,2,-11.016776,-9.5854
268,6-9yo,1,3,-16.536047,-6.0777593
268,6-9yo,2,3,-8.497495,12.002946
268,6-9yo,3,3,11.615813,3.1920424
268,6-9yo,1,4,1.652299,-13.704895
268,6-9yo,2,4,12.968958,6.5644526
268,6-9yo,3,4,6.723623,-6.824725
221,6-9yo,1,1,-7.9045143,13.397933
221,6-9yo,2,1,15.729906,-4.8410697
221,6-9yo,3,1,-8.669527,-5.0451612
221,6-9yo,1,2,24.916927,-0.5318027
221,6-9yo,2,2,-5.7308593,-6.279874
221,6-9yo,3,2,-7.4696755,10.3538885
221,6-9yo,1,3,-6.1198134,-4.39798
221,6-9yo,2,3,-10.060167,-3.900772
221,6-9yo,3,3,2.4299927,-9.431459
221,6-9yo,1,4,-10.892594,-8.468152
221,6-9yo,2,4,0.061116815,15.021722
221,6-9yo,3,4,13.709209,4.122731
343,6-9yo,1,1,-13.652449,-5.8686547
343,6-9yo,2,1,-4.8412185,-2.7117188
343,6-9yo,3,1,-5.199575,11.875805
343,6-9yo,1,2,-3.1291258,15.367941
343,6-9yo,2,2,-11.923966,8.039485
343,6-9yo,3,2,-3.5209982,-10.436176
343,6-9yo,1,3,24.963734,-3.3113587
343,6-9yo,2,3,21.462063,2.2061517
343,6-9yo,3,3,-8.097765,-1.9752555
343,6-9yo,1,4,-8.182156,-6.1879225
343,6-9yo,2,4,-4.6968875,-7.533911
343,6-9yo,3,4,16.818335,0.53562415
273,6-9yo,1,1,18.673986,-10.564146
273,6-9yo,2,1,-7.1951647,5.5702004
273,6-9yo,3,1,-21.622313,-8.267398
273,6-9yo,1,2,-13.958752,-4.164279
273,6-9yo,2,2,-16.646095,-7.6482134
273,6-9yo,3,2,9.9861,-9.294864
273,6-9yo,1,3,11.2712,13.742997
273,6-9yo,2,3,17.071972,-9.832495
273,6-9yo,3,3,-11.04578,14.358729
273,6-9yo,1,4,-15.986441,0.98543
273,6-9yo,2,4,6.76929,11.910509
273,6-9yo,3,4,22.681988,3.2035294
324,6-9yo,1,1,-14.573725,-7.8944173
324,6-9yo,2,1,-4.918981,12.362233
