Subject,AgeGroup,Run,Item,PC1,PC2
229,6-9yo,1,3,-4.635975,8.1079235
229,6-9yo,2,3,7.7334538,-5.126969
229,6-9yo,3,3,15.457826,0.8656585
229,6-9yo,4,3,13.333285,2.3383594
229,6-9yo,5,3,-3.4350815,-7.5165825
229,6-9yo,6,3,3.7127473,8.84982
229,6-9yo,1,4,-10.103526,-3.851541
229,6-9yo,2,4,-6.956529,-4.6626606
229,6-9yo,3,4,-6.888966,-5.425445
229,6-9yo,4,4,-7.74072,-4.1092463
229,6-9yo,5,4,-8.565689,9.481217
229,6-9yo,6,4,12.79953,-2.833642
279,6-9yo,1,1,-10.702523,-7.2434964
279,6-9yo,2,1,9.929561,-3.8051856
279,6-9yo,3,1,-7.0780873,9.421602
279,6-9yo,4,1,9.185323,-5.3227105
279,6-9yo,5,1,-7.4853263,-1.2480489
279,6-9yo,6,1,10.957751,-2.2522707
279,6-9yo,1,2,12.080643,-3.97886
279,6-9yo,2,2,-8.40689,-3.7923737
279,6-9yo,3,2,-5.044307,-6.691122
279,6-9yo,4,2,-8.98732,-2.1459317
279,6-9yo,5,2,8.735571,-0.22554949
279,6-9yo,6,2,-9.320426,-4.8657866
279,6-9yo,1,3,2.7155333,2.4208338
279,6-9yo,2,3,-4.8608036,2.3734665
279,6-9yo,3,3,0.8266607,-6.092002
279,6-9yo,4,3,-4.180018,0.016613852
279,6-9yo,5,3,-1.1796292,6.553298
279,6-9yo,6,3,0.25738725,-3.338469
279,6-9yo,1,4,-4.0936503,8.801525
279,6-9yo,2,4,3.3381329,5.2240925
279,6-9yo,3,4,11.295734,3.3615234
279,6-9yo,4,4,3.982013,7.452031
279,6-9yo,5,4,-0.070616364,-5.0796986
279,6-9yo,6,4,-1.8947109,10.45653
282,6-9yo,1,1,7.7840257,-3.2689734
282,6-9yo,2,1,-2.9721582,-6.00694
282,6-9yo,3,1,-6.058385,10.924392
282,6-9yo,4,1,17.349068,-5.8465266
282,6-9yo,5,1,1.1504041,-0.79537004
282,6-9yo,6,1,-8.113095,-7.7544303
282,6-9yo,1,2,-7.150279,-3.4610722
282,6-9yo,2,2,-6.49709,0.43256867
282,6-9yo,3,2,-9.061651,-7.654573
282,6-9yo,4,2,-15.075751,-7.9921746
282,6-9yo,5,2,-6.52129,-7.409496
282,6-9yo,6,2,12.014816,-1.6959192
282,6-9yo,1,3,-1.7015635,2.3428864
282,6-9yo,2,3,9.139742,-1.915944
282,6-9yo,3,3,1.129194,-3.3097343
282,6-9yo,4,3,-2.476735,8.160459
282,6-9yo,5,3,10.85521,-0.14727037
282,6-9yo,6,3,-4.518353,9.418465
282,6-9yo,1,4,1.0678197,4.3871603
282,6-9yo,2,4,0.3295044,7.490313
282,6-9yo,3,4,13.990845,0.039916757
282,6-9yo,4,4,0.2034174,5.678244
282,6-9yo,5,4,-5.484325,8.352133
282,6-9yo,6,4,0.61663544,0.031884003
350,6-9yo,1,1,-0.6970159,4.868256
350,6-9yo,2,1,-11.655469,-7.136181
350,6-9yo,3,1,0.916353,8.486792
350,6-9yo,4,1,12.551787,-3.1606512
350,6-9yo,5,1,-9.463504,7.915504
350,6-9yo,6,1,-8.770444,-4.0604844
350,6-9yo,1,2,11.475867,-5.198098
350,6-9yo,2,2,1.4231695,8.939183
350,6-9yo,3,2,-6.2211695,-1.1389536
350,6-9yo,4,2,-7.466326,-8.770069
350,6-9yo,5,2,3.9400647,-5.653767
350,6-9yo,6,2,1.3554263,11.6180105
350,6-9yo,1,3,-0.44569135,6.7210584
350,6-9yo,2,3,12.233813,-6.9900913
350,6-9yo,3,3,-7.093163,-3.911305
350,6-9yo,4,3,-1.7724264,8.9045925
350,6-9yo,5,3,10.537283,5.5201535
350,6-9yo,6,3,10.365536,-5.5315337
350,6-9yo,1,4,-10.333164,-6.391216
350,6-9yo,2,4,-2.0015144,5.187092
350,6-9yo,3,4,12.397983,-3.43653
350,6-9yo,4,4,-3.3130336,3.0261261
350,6-9yo,5,4,-5.013846,-7.7818904
350,6-9yo,6,4,-2.9505172,-2.0259905
212,6-9yo,1,1,-2.5390284,9.161659
212,6-9yo,2,1,-6.258954,6.0756526
212,6-9yo,3,1,1.8575578,-6.060493
212,6-9yo,4,1,-7.9309006,-5.385369
212,6-9yo,5,1,-5.061512,0.49012226
212,6-9yo,6,1,-7.9930854,-5.1169124
212,6-9yo,1,2,15.983678,-1.2815788
212,6-9yo,2,2,-0.062289376,-4.607398
212,6-9yo,3,2,-9.094614,6.220747
212,6-9yo,4,2,-6.4615564,-0.78088486
