Subject,AgeGroup,Run,Item,PC1,PC2
212,6-9yo,1,2,7.7423844,-0.6561571
212,6-9yo,2,2,-1.0073915,-3.1699274
212,6-9yo,3,2,6.9694743,0.644515
212,6-9yo,4,2,-1.7953186,-1.5549991
212,6-9yo,5,2,-0.35792732,5.3424797
212,6-9yo,6,2,4.5927706,-0.4913251
212,6-9yo,1,3,-2.313682,4.038334
212,6-9yo,2,3,8.457173,1.0838168
212,6-9yo,3,3,-3.1903634,4.7023764
212,6-9yo,4,3,9.349102,-0.038380254
212,6-9yo,5,3,6.757701,-1.5868688
212,6-9yo,6,3,-0.32144725,3.5137546
212,6-9yo,1,4,0.0049179527,-0.7270004
212,6-9yo,2,4,-2.6905663,-1.1752242
212,6-9yo,3,4,-0.7696299,-2.4916856
212,6-9yo,4,4,-3.4806273,6.8472433
212,6-9yo,5,4,-3.497572,-2.9162736
212,6-9yo,6,4,-3.7126975,-0.53823256
240,6-9yo,1,1,-8.237709,4.317633
240,6-9yo,2,1,-2.6529944,-2.311535
240,6-9yo,3,1,-1.8346641,3.217564
240,6-9yo,4,1,0.8996776,3.925606
240,6-9yo,5,1,-3.7199335,0.8899749
240,6-9yo,6,1,0.76417834,4.207043
240,6-9yo,1,2,-3.1326737,-3.4970863
240,6-9yo,2,2,-0.7068462,-3.075047
240,6-9yo,3,2,-4.918785,-3.131043
240,6-9yo,4,2,-3.0813909,-3.0107677
240,6-9yo,5,2,4.6444416,-1.3496673
240,6-9yo,6,2,4.3185544,-2.3991408
240,6-9yo,1,3,9.525249,3.4017985
240,6-9yo,2,3,6.9839425,1.0572588
240,6-9yo,3,3,0.048938263,1.3398842
240,6-9yo,4,3,6.680658,-1.5139122
240,6-9yo,5,3,1.5953676,2.6091928
240,6-9yo,6,3,-3.970828,-1.7963678
240,6-9yo,1,4,1.8451356,-4.222348
240,6-9yo,2,4,-3.6241024,4.3293233
240,6-9yo,3,4,6.7045126,-1.4264052
240,6-9yo,4,4,-4.4989467,0.59907293
240,6-9yo,5,4,-2.519876,-2.1495013
240,6-9yo,6,4,-1.1119051,-0.011534044
262,6-9yo,1,1,-0.3671108,-2.5443695
262,6-9yo,2,1,0.47558916,4.4979863
262,6-9yo,3,1,-4.0612173,-5.6156435
262,6-9yo,4,1,-2.9100373,-3.0481985
262,6-9yo,5,1,-1.8977154,6.1345177
262,6-9yo,6,1,-5.5329037,-5.1091824
262,6-9yo,1,2,6.4578376,1.0279887
262,6-9yo,2,2,-4.729354,-2.1778233
262,6-9yo,3,2,-3.8308928,6.4402018
262,6-9yo,4,2,1.6707768,-2.8352826
262,6-9yo,5,2,6.4021683,-1.2012177
262,6-9yo,6,2,5.5638514,-3.5517263
262,6-9yo,1,3,-3.540529,3.741755
262,6-9yo,2,3,6.7859626,-1.9654093
262,6-9yo,3,3,7.6531334,0.27817485
262,6-9yo,4,3,-3.9125376,3.799921
262,6-9yo,5,3,0.5492667,-0.999385
262,6-9yo,6,3,-4.0731325,5.3622456
262,6-9yo,1,4,-2.5501976,-2.225373
262,6-9yo,2,4,-2.5321972,-0.3547538
262,6-9yo,3,4,0.23897529,-1.1027342
262,6-9yo,4,4,5.1517987,2.083561
262,6-9yo,5,4,-5.0537176,-3.9339147
262,6-9yo,6,4,4.0421834,3.2986646
297,6-9yo,1,1,-0.6164486,3.6876574
297,6-9yo,2,1,7.807052,-1.8067306
297,6-9yo,3,1,-1.3259896,0.068379894
297,6-9yo,4,1,-4.674666,6.359143
297,6-9yo,5,1,2.9144523,5.2779155
297,6-9yo,6,1,-0.626422,-1.7784823
297,6-9yo,1,2,-1.8908852,-2.262874
297,6-9yo,2,2,-5.003702,-2.4277475
297,6-9yo,3,2,-1.5101402,4.564708
297,6-9yo,4,2,-5.903372,-3.3553932
297,6-9yo,5,2,-4.2498646,1.633882
297,6-9yo,6,2,-1.5309118,-3.8091078
297,6-9yo,1,3,-5.183126,-0.69535005
297,6-9yo,2,3,-2.1951554,-2.8563483
297,6-9yo,3,3,-4.1612463,-3.5312123
297,6-9yo,4,3,1.7404438,-5.1379323
297,6-9yo,5,3,6.252062,-3.7982306
297,6-9yo,6,3,6.2465,1.5386622
297,6-9yo,1,4,7.6904607,-0.7294328
297,6-9yo,2,4,-0.6081953,7.090828
297,6-9yo,3,4,6.9973755,-1.1018739
297,6-9yo,4,4,8.837594,2.1341822
297,6-9yo,5,4,-4.9166517,-3.113566
297,6-9yo,6,4,-4.089166,4.0489287
280,6-9yo,1,1,-2.2585676,-2.53999
280,6-9yo,2,1,6.771407,-2.3416457
280,6-9yo,3,1,-1.1573653,4.5771403
280,6-9yo,4,1,2.7504606,-3.0255985
280,6-9yo,5,1,3.465053,1.6571158
280,6-9yo,6,1,-3.213961,2.874695
280,6-9yo,1,2,-3.6982346,2.7653956
280,6-9yo,2,2,-3.4262767,-0.45884904
280,6-9yo,3,2,-4.9819436,-2.153908
280,6-9yo,4,2,-5.2188096,5.164301
280,6-9yo,5,2,-2.4474819,3.4051266
280,6-9yo,6,2,-1.1001797,-2.126887
280,6-9yo,1,3,5.9029894,0.76976144
280,6-9yo,2,3,1.6520135,4.252954
280,6-9yo,3,3,5.512603,-0.8011982
280,6-9yo,4,3,-4.227204,-4.5403476
280,6-9yo,5,3,-3.170747,-2.5341992
280,6-9yo,6,3,0.25457385,-2.6110368
280,6-9yo,1,4,0.053812265,-0.9951664
280,6-9yo,2,4,-4.997143,-1.4524605
280,6-9yo,3,4,0.6267051,-1.6220355
280,6-9yo,4,4,6.6955514,2.4016433
280,6-9yo,5,4,2.1531754,-2.5280423
280,6-9yo,6,4,4.059567,1.8632288
329,6-9yo,1,1,3.6516955,-1.9843336
329,6-9yo,2,1,4.8455114,-0.9776027
329,6-9yo,3,1,-3.1577268,-0.38399413
329,6-9yo,4,1,-2.7112234,2.4763188
329,6-9yo,5,1,2.6904378,2.6690319
329,6-9yo,6,1,-0.7962857,-2.3456414
329,6-9yo,1,2,-2.1747394,0.76360744
329,6-9yo,2,2,-1.1606199,-1.7702167
329,6-9yo,3,2,-2.0084512,-2.525507
329,6-9yo,4,2,-2.0331497,-2.4016511
329,6-9yo,5,2,-4.35155,1.3932465
329,6-9yo,6,2,-0.77694327,-1.1903791
329,6-9yo,1,3,1.4458991,2.855467
329,6-9yo,2,3,-4.5399256,-0.061715774
329,6-9yo,3,3,-0.023212712,4.102259
329,6-9yo,4,3,3.1077597,1.3276279
329,6-9yo,5,3,4.838318,-1.7497019
329,6-9yo,6,3,-2.874517,2.5292697
329,6-9yo,1,4,-2.9228551,-1.6347411
329,6-9yo,2,4,0.85503465,2.8095362
329,6-9yo,3,4,5.1893897,-1.1927574
329,6-9yo,4,4,1.636613,-1.4022951
329,6-9yo,5,4,-3.1772063,-2.3125765
329,6-9yo,6,4,4.447746,1.0067512
253,6-9yo,1,1,-3.8974369,-5.5031643
253,6-9yo,2,1,-0.6089797,-3.796225
253,6-9yo,3,1,2.2399173,4.482589
253,6-9yo,4,1,5.3111715,0.14333147
253,6-9yo,5,1,-1.6119598,-3.207921
253,6-9yo,6,1,-0.3030577,0.44737726
253,6-9yo,1,2,-3.7473648,5.742535
253,6-9yo,2,2,7.7182407,0.872734
253,6-9yo,3,2,-5.137327,1.6770788
253,6-9yo,4,2,3.6198905,-0.6073367
253,6-9yo,5,2,5.624008,1.5035188
253,6-9yo,6,2,5.6594014,-0.7112473
253,6-9yo,1,3,1.286817,-0.31414312
253,6-9yo,2,3,-3.3511822,4.76511
253,6-9yo,3,3,5.8294444,-2.2239704
253,6-9yo,4,3,-4.0414104,4.369113
253,6-9yo,5,3,-3.890384,3.560752
253,6-9yo,6,3,-3.2569685,-4.072897
253,6-9yo,1,4,6.3579836,0.07477152
253,6-9yo,2,4,-3.7580786,-1.8416191
253,6-9yo,3,4,-2.9320323,-3.935697
253,6-9yo,4,4,-4.8896513,-3.905107
253,6-9yo,5,4,-0.12166629,-1.8563514
253,6-9yo,6,4,-2.0993738,4.3367677
268,6-9yo,1,1,-1.4897985,6.2704268
268,6-9yo,2,1,8.888749,-1.2592306
268,6-9yo,3,1,5.2418303,-0.57159024
268,6-9yo,4,1,5.328489,1.8404087
268,6-9yo,5,1,6.9657674,2.7471313
268,6-9yo,6,1,2.8489785,4.552278
268,6-9yo,1,2,6.350475,-1.3492794
