,Unnamed: 0,subject,age_group,run,path,func_path,cluster_hip_cluster_no_acc_mask_mean,cluster_hip_cluster_no_acc_unmasked_mean
237,237,246,10-12yo,4,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-4_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-4_pca12_varExpl.nii.gz,0.7296668067574501,0.7304256020053741
238,238,246,10-12yo,5,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-5_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-5_pca12_varExpl.nii.gz,0.7384359911084175,0.7445339714327166
239,239,246,10-12yo,6,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-6_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-6_pca12_varExpl.nii.gz,0.7861398806174597,0.7896564737443001
240,240,208,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-1_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-1_pca12_varExpl.nii.gz,0.9005942830333004,0.8962881494970882
241,241,208,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-2_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-2_pca12_varExpl.nii.gz,0.7835665256888779,0.7787443767575657
242,242,208,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-3_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-3_pca12_varExpl.nii.gz,0.781384613778856,0.7800571673056659
243,243,208,10-12yo,4,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-4_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-4_pca12_varExpl.nii.gz,0.7586004336675009,0.7554480223094716
244,244,208,10-12yo,5,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-5_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-5_pca12_varExpl.nii.gz,0.7637194836581195,0.7678763638524448
245,245,208,10-12yo,6,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-6_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-6_pca12_varExpl.nii.gz,0.8353053309299328,0.8272383002673879
246,246,249,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-1_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-1_pca12_varExpl.nii.gz,0.7927624119652642,0.7968521881103515
